timeKey,season,round
2021_1,2021,1
2021_2,2021,2
2021_3,2021,3
2021_4,2021,4
2021_5,2021,5
2021_6,2021,6
2021_7,2021,7
2021_8,2021,8
2021_9,2021,9
2021_10,2021,10
2021_11,2021,11
2021_12,2021,12
2021_13,2021,13
2021_14,2021,14
2021_15,2021,15
2021_16,2021,16
2021_18,2021,18
2021_19,2021,19
2021_20,2021,20
2021_21,2021,21
2021_22,2021,22
2022_1,2022,1
2022_2,2022,2
2022_3,2022,3
2022_4,2022,4
2022_5,2022,5
2022_6,2022,6
2022_7,2022,7
2022_8,2022,8
2022_9,2022,9
2022_11,2022,11
2022_12,2022,12
2022_13,2022,13
2022_14,2022,14
2022_15,2022,15
2022_16,2022,16
2022_17,2022,17
2022_18,2022,18
2022_19,2022,19
2022_20,2022,20
2022_21,2022,21
2022_22,2022,22
2023_1,2023,1
2023_2,2023,2
2023_3,2023,3
2023_4,2023,4
2023_5,2023,5
2023_6,2023,6
2023_7,2023,7
2023_8,2023,8
2023_9,2023,9
2023_11,2023,11
2023_12,2023,12
2023_13,2023,13
2023_14,2023,14
2023_15,2023,15
2023_16,2023,16
2023_17,2023,17
2023_18,2023,18
2023_19,2023,19
2023_20,2023,20
2023_21,2023,21
2023_22,2023,22
2024_1,2024,1
2024_2,2024,2
2024_3,2024,3
2024_4,2024,4
2024_5,2024,5
2024_6,2024,6
2024_7,2024,7
2024_8,2024,8
2024_9,2024,9
2024_10,2024,10
2024_11,2024,11
2024_12,2024,12
2024_13,2024,13
2024_14,2024,14
2024_15,2024,15
2024_16,2024,16
2024_17,2024,17
2024_19,2024,19
2024_20,2024,20
2024_21,2024,21
2024_22,2024,22
2024_23,2024,23
2024_24,2024,24
2025_1,2025,1
2025_2,2025,2
2025_3,2025,3
2025_4,2025,4
2025_5,2025,5
2025_6,2025,6
2025_7,2025,7
2025_8,2025,8
2025_9,2025,9
2025_10,2025,10
2025_11,2025,11
2025_12,2025,12
2025_13,2025,13
2025_14,2025,14
2025_15,2025,15
2025_16,2025,16
2025_17,2025,17
2025_19,2025,19
2025_20,2025,20
2025_21,2025,21
2025_22,2025,22
2025_23,2025,23
2025_24,2025,24
